ID Organ_Name Mass Volume Density
1 Adrenal_left 7 6.86 1.02
2 Adrenal_right 7 6.86 1.02
3 Extrathoracic 39.44 38.29 1.03
4 blank 0 0 0
5 Oral_mucosa_tongue 31 29.52 1.05
6 blank 0 0 0
7 Trachea 10 9.71 1.03
8 Bronchi 30 29.13 1.03
9 Blood_vessels_head 0.85 0.8 1.06
10 Blood_vessels_trunk 271.93 256.54 1.06
11 Blood_vessels_arms 15.72 14.83 1.06
12 Blood_vessels_legs 83.04 78.34 1.06
13 Humeri_c 135.26 70.45 1.92
14 Humeri_s 184.86 154.05 1.2
15 Humeri_m 33.48 34.16 0.98
16 Humeri_c 128.03 66.68 1.92
17 Humeri_s 59.73 53.81 1.11
18 Humeri_m 37.13 37.89 0.98
19 Ulnae_s 270.8 141.04 1.92
20 Ulnae_c 181.91 163.88 1.11
21 Ulnae_m 22.67 23.13 0.98
22 Wrists_c 179.74 93.61 1.92
23 Wrists_s 139.59 125.76 1.11
24 Clavicles_c 47.78 24.89 1.92
25 Clavicles_s 53.06 46.14 1.15
26 Cranium_c 562.85 293.15 1.92
27 Cranium_s 451.06 388.84 1.16
28 Femora_c 261.68 136.29 1.92
29 Femora_s 472.05 421.47 1.12
30 Femora_m 25.78 26.31 0.98
31 Femora_c 294.09 153.17 1.92
32 Femora_s 438.57 395.11 1.11
33 Femora_m 80.89 82.54 0.98
34 Tibiae_c 531.35 276.74 1.92
35 Tibiae_c 729.38 657.1 1.11
36 Tibiae_m 78.67 80.28 0.98
37 Ankles_c 232.56 121.13 1.92
38 Ankles_s 507.78 457.46 1.11
39 Mandible_c 76.12 39.65 1.92
40 Mandible_s 73.9 60.08 1.23
41 Pelvis_c 398.62 207.61 1.92
42 Pelvis_s 681.18 608.2 1.12
43 Ribs_c 365.16 190.19 1.92
44 Ribs_s 520.06 444.5 1.17
45 Scapulae_c 221.13 115.17 1.92
46 Scapulae_s 192.21 162.89 1.18
47 Cervica_spine_c 102.92 53.6 1.92
48 Cervical_s 73.55 70.05 1.05
49 Thoracic_c 286.58 149.26 1.92
50 Thoracic_s 335.34 313.4 1.07
51 Lumbar_c 186.19 96.97 1.92
52 Lumbar_s 302.07 272.14 1.11
53 Sacrum_c 109.23 56.89 1.92
54 Sacrum_s 173.51 168.46 1.03
55 Sternum_c 9.89 5.15 1.92
56 Sternum_s 56.31 54.14 1.04
57 blank 0 0 0
58 Catilage 88.67 80.61 1.1
59 blank 0 0 0
60 blank 0 0 0
61 Brain 1450 1394.23 1.04
62 Breast 7.5 7.89 0.95
63 Breast 4.99 4.89 1.02
64 Breast 7.5 7.89 0.95
65 Breast 4.99 4.89 1.02
66 Eye 0.2 0.18 1.1
67 Eye 7.3 7.09 1.03
68 Eye 0.2 0.18 1.1
69 Eye 7.3 7.09 1.03
70 Gall 10 9.71 1.03
71 Gall 58 56.31 1.03
72 Stomach 150 144.23 1.04
73 Stomach 250 240.38 1.04
74 blank 0 0 0
75 Small_Intestine 1000 961.54 1.04
76 colon 89.99 86.53 1.04
77 colon 55.02 52.9 1.04
78 colon 60 57.69 1.04
79 colon 95 91.35 1.04
80 colon 60 57.69 1.04
81 colon 40.01 38.47 1.04
82 colon 89.99 86.53 1.04
83 colon 35 33.65 1.04
84 colon 40.01 38.47 1.04
85 colon 74.97 72.09 1.04
86 Rectum 29.98 28.83 1.04
87 Heart 330 314.29 1.05
88 Heart 510 481.13 1.06
89 Kidney 107.12 102.02 1.05
90 Kidney 38.25 36.43 1.05
91 Kidney 7.63 7.27 1.05
92 Kidney 109.92 104.69 1.05
93 Kidney 39.25 37.38 1.05
94 Kidney 7.87 7.5 1.05
95 Liver 1800 1714.29 1.05
96 blank 0 0 0
97 Lung 553 2212 0.25
98 blank 0 0 0
99 Lung 647 2588 0.25
100 Lymphatic 2.26 2.19 1.03
101 Lymphatic 6.4 6.21 1.03
102 Lymphatic 5.98 5.81 1.03
103 Lymphatic 104.4 101.36 1.03
104 Lymphatic 7.83 7.6 1.03
105 Lymphatic 11.1 10.78 1.03
106 Muscle_head 1217.81 1159.82 1.05
107 Muscle_trunk 15006.82 14292.21 1.05
108 Muscle_arms 2750.53 2619.55 1.05
109 Muscle_legs 10024.97 9547.59 1.05
110 Oesophagus 40 38.83 1.03
111 blank 0 0 0
112 blank 0 0 0
113 Pancreas 140 133.33 1.05
114 Pituitary 0.6 0.58 1.03
115 Prostate 17 16.19 1.05
116 blank 0 0 0
117 blank 0 0 0
118 blank 0 0 0
119 Residual 1 1 1
120 Salivary 42.5 40.48 1.05
121 Salivary 42.5 40.48 1.05
122 blank 0 0 0
123 blank 0 0 0
124 blank 0 0 0
125 Skin 3300 7333.33 0.45
126 Spinal_chord 30 28.85 1.04
127 Spleen 150 141.51 1.06
128 Teeth 50 18.18 2.75
129 "Testis " 17.5 16.83 1.04
130 "Testis " 17.5 16.83 1.04
131 Thymus 25 24.27 1.03
132 Thyroid 20 19.05 1.05
133 Tongue 42 40 1.05
134 Tonsils 3 2.91 1.03
135 Ureter 8.5 8.25 1.03
136 Ureter 7.5 7.28 1.03
137 Urinary_bladder 50 48.08 1.04
138 Urinary_bladder 200 192.31 1.04
